French,English
partie,part
pensais,thought
demande,request
genre,kind
frère,brother
laisser,let
eux,them
parlé,speak
arrivé,come
bébé,baby
heures,hours
vont,will
pendant,while
place,square
parle,speak
compris,understood
voici,here is
pourrais,could
affaire,case
donner,give
leurs,their
donné,given
corps,body
yeux,eyes
façon,way
écoute,listen
dont,whose
main,hand
côté,side
vieux,old
sois,be
suite,after
pardon,sorry
venez,come
devant,in front of
demandé,request
chambre,bedroom
mis,placed
droit,law
mari,husband
espère,hope
parti,left
arrêter,Stop
compte,account
donne,given
fin,end
croire,believe
chérie,sweetheart
plutôt,rather
bureau,office
